year,assoc_actor_1,country,admin1,admin2,admin3,location,latitude,longitude,notes,fatalities,date_of_event
2023,Labor Group (Iran),Iran,East Azerbaijan,Tabriz,Central,Tabriz,38.08,46.292,"On 28 February 2023, retirees protested in front of the governor's office in Tabriz city (East Azerbaijan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners. Police forces dispersed the gathering, and made several arrests.",0,2023-02-28
2023,NA,Iran,Sistan and Baluchestan,Chabahar,Central,Chabahar,25.292,60.643,"On 28 February 2023, IRGC forces attacked and beat multiple Baloch people, driving them from their dwellings and destroying their residences with heavy machinery in the area behind the Jumah Bazaar in Chabahar city (Sistan and Baluchestan), stating that the land had been seized as property of the IRGC. Warning shots were also fired during the course of the eviction.",0,2023-02-28
2023,Labor Group (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 28 February 2023, retirees protested in front of the Social Security building in Isfahan city (Isfahan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Alborz,Karaj,Central,Karaj,35.833,50.992,"On 28 February 2023, retirees protested in front of the governor's office in Karaj city (Alborz) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Qazvin,Qazvin,Central,Qazvin,36.269,50.004,"On 28 February 2023, retirees protested in front of the governor's office in Qazvin city (Qazvin) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Gilan,Rasht,Central,Rasht,37.276,49.589,"On 28 February 2023, retirees protested in front of the governor's office in Rasht city (Gilan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Students (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 28 February 2023, students from the Isfahan School of Art held a protest rally in Isfahan city (Isfahan) over poor living conditions in the dormitories.",0,2023-02-28
2023,Labor Group (Iran),Iran,Kermanshah,Kermanshah,Central,Kermanshah,34.314,47.065,"On 28 February 2023, retirees protested in front of the governor's office in Kermanshah city (Kermanshah) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Yazd,Yazd,Central,Yazd,31.897,54.368,"On 28 February 2023, retirees protested in front of the governor's office in Yazd city (Yazd) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Kurdistan,Sannandaj,Central,Sanandaj,35.315,46.999,"On 28 February 2023, retirees protested in front of the governor's office in Sanandaj city (Kurdistan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Chaharmahal and Bakhtiari,Shahrekord,Central,Shahr e Kord,32.326,50.864,"On 28 February 2023, retirees protested in front of the governor's office in Shahr e Kord city (Chaharmahal and Bakhtiari) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Kurdistan,Marivan,Central,Marivan,35.518,46.183,"On 28 February 2023, retirees protested in front of the Social Security office in Marivan city (Kurdistan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Ardabil,Ardabil,Central,Ardabil,38.25,48.293,"On 28 February 2023, retirees protested in front of the governor's office in Ardabil city (Ardabil) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Ilam,Ilam,Central,Ilam,33.637,46.423,"On 28 February 2023, retirees protested in front of the governor's office in Ilam city (Ilam) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Markazi,Arak,Central,Arak,34.092,49.689,"On 28 February 2023, retirees protested in front of the governor's office in Arak city (Markazi) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,NA,Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.316,59.568,"On 28 February 2023, police pursued and fired shots at a teenager in Mashhad city (Razavi Khorasan) killing him as a result. The motives for the chase and shooting are unknown.",1,2023-02-28
2023,Labor Group (Iran),Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 28 February 2023, waste workers employed within the municipality protested in front of the City Council building in Tehran - District 12 (Tehran) demanding that their status be changed from contractor to direct employee.",0,2023-02-28
2023,Labor Group (Iran),Iran,Kurdistan,Dehgolan,Central,Dehgolan,35.278,47.418,"On 28 February 2023, retirees protested in front of the Social Security office in Dehgolan city (Kurdistan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 28 February 2023, aggrieved customers of the car company AZVICO protested in front of the Economc Crimes Court in Tehran - District 12 (Tehran) over the failure of the company to deliver upon pre-purchased vehicles.",0,2023-02-28
2023,Labor Group (Iran),Iran,Yazd,Yazd,Central,Yazd,31.897,54.368,"On 28 February 2023, workers for Yazd Steel went on strike and protested in Yazd city (Yazd) demanding a change in management.",0,2023-02-28
2023,Students (Iran),Iran,Tehran,Tehran,Central,Tehran - District 4,35.753,51.521,"On 28 February 2023, students from Chamran University protested on campus in Tehran - District 4 (Tehran) over the cancellation of in-person classes and switch to virtual classes for Ramadan.",0,2023-02-28
2023,Students (Iran),Iran,Tehran,Tehran,Central,Tehran - District 6,35.725,51.403,"On 28 February 2023, students from Tehran University protested on campus in Tehran - District 6 (Tehran) over the school switching classes from in-person to remote, and closing down dormitories. The cited reason is a shortage of funds.",0,2023-02-28
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 5,35.743,51.308,"On 28 February 2023, parents protested outside of the Khayyam Girls School in Tehran - District 5 (Tehran) alleging that their children had been deliberately poisoned.",0,2023-02-28
2023,Labor Group (Iran),Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.316,59.568,"On 28 February 2023, retirees protested in front of the governor's office in Mashhad city (Razavi Khorasan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Mazandaran,Babol,Central,Babol,36.551,52.679,"On 28 February 2023, retirees protested in front of the Social Security office in Babol city (Mazandaran) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,Labor Group (Iran),Iran,Qazvin,Takestan,Central,Takestan,36.07,49.696,"On 28 February 2023, retirees protested in front of the government offices in Takestan city (Qazvin) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-28
2023,NA,Iran,Tehran,Pardis,Bumehen,Pardis,35.742,51.781,"Other: On 28 February 2023, 35 female students at the Khayam Girls School fell ill with varied symptoms in Pardis city (Tehran) and stated there had been strange odors. Their families and others have accused the government of intentionally poisoning the girls, while the stance of the government and some foreign experts is that it is likely mass hysteria. These alleged poisonings have led to protests.",0,2023-02-28
2023,NA,Iran,Lorestan,Borujerd,Central,Borujerd,33.897,48.752,"Other: On 28 February 2023, multiple students at a girls high school fell ill with varied symptoms in Borujerd city (Lorestan) and stated there had been strange odors. Their families and others have accused the government of intentionally poisoning the girls, while the stance of the government and some foreign experts is that it is likely mass hysteria. These alleged poisonings have led to protests.",0,2023-02-28
2023,Labor Group (Iran),Iran,Tehran,Tehran,Central,Tehran - District 7,35.722,51.444,"On 27 February 2023, retired telecommunications workers protested in front of the Ministry of Telecommunications and Information Technology building in Tehran - District 7 (Tehran) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Markazi,Arak,Central,Arak,34.092,49.689,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Arak city (Markazi) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Hamadan,Hamadan,Central,Hamadan,34.799,48.515,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Hamadan city (Hamadan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.316,59.568,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Mashhad city (Razavi Khorasan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Isfahan city (Isfahan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Kermanshah,Kermanshah,Central,Kermanshah,34.314,47.065,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Kermanshah city (Kermanshah) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Kurdistan,Sannandaj,Central,Sanandaj,35.315,46.999,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Sanandaj city (Kurdistan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Hormozgan,Bandar-Abbas,Central,Bandar Abbas,27.186,56.281,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Bandar Abbas city (Hormozgan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,East Azerbaijan,Tabriz,Central,Tabriz,38.08,46.292,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Tabriz city (East Azerbaijan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Kerman,Kerman,Central,Kerman,30.283,57.079,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Kerman city (Kerman) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Zanjan,Zanjan,Central,Zanjan,36.676,48.496,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Zanjan city (Zanjan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Yazd,Yazd,Central,Yazd,31.897,54.368,"On 27 February 2023, workers for Yazd Steel went on strike and protested in Yazd city (Yazd) demanding a change in management.",0,2023-02-27
2023,NA,Iran,Sistan and Baluchestan,Hirmand,Central,Milak,30.97,61.809,"On 27 February 2023, Afghan border guards beat and detained an Iranian border guard at the border checkpoint in Milak city (Sistan and Baluchestan) reportedly as collateral in an attempt to stop a suspected smuggler. The Iranian border guard was released from Afghan custody shortly after.",0,2023-02-27
2023,Labor Group (Iran),Iran,Ardabil,Ardabil,Central,Ardabil,38.25,48.293,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Ardabil city (Ardabil) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,Labor Group (Iran),Iran,Lorestan,Khorramabad,Central,Khorramabad,33.488,48.356,"On 27 February 2023, retired telecommunications workers protested in front of the provincial telecommunications office in Khorramabad city (Lorestan) in criticism of a recent increase in insurance payment rates.",0,2023-02-27
2023,NA,Iran,Sistan and Baluchestan,Nikshahr,Central,Nikshahr,26.226,60.214,"On 27 February 2023, Iranian intelligence officers fired without warning at a vehicle driving out of Nikshahr city (Sistan and Baluchestan) injuring its occupant--a Sunni cleric of Baloch ethnicity--as a result.",0,2023-02-27
2023,NA,Iran,Ilam,Dehloran,Central,Dehloran,32.694,47.268,"Explosive remnants of war: On 27 February 2023, a mine leftover from the Iran-Iraq war detonated in Dehloran county (Ilam) killing one civilian as a result.",1,2023-02-27
2023,Labor Group (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 26 February 2023, workers for the Isfahan Iron Smelter Company went on strike and protested at their workplace in Isfahan city (Isfahan) over unpaid wage arrears and the failure of their employers to implement a job classification plan. Police forces entered the complex, disrupted the rally, and made multiple arrests.",0,2023-02-26
2023,Former Military Forces of Iran (1989-),Iran,Tehran,Tehran,Central,Tehran - District 3,35.766,51.426,"On 26 February 2023, veterans of the Iran-Iraq war protested in front of the United Nations office in Tehran - District 3 (Tehran) over their demands not being addressed.",0,2023-02-26
2023,Labor Group (Iran),Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.319,48.684,"On 26 February 2023, retirees protested in front of the Social Security building in Ahvaz city (Khuzestan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-26
2023,Labor Group (Iran),Iran,Kohgiluyeh and Boyer-Ahmad,Yasooj,Central,Yasuj,30.668,51.588,"On 26 February 2023, municipal workers protested in front of the government offices in Yasuj city (Kohgiluyeh and Boyer-Ahmad) over unpaid wage arrears.",0,2023-02-26
2023,Labor Group (Iran),Iran,Khuzestan,Shush,Central,Shush,32.194,48.244,"On 26 February 2023, retirees protested in front of the Social Security building in Shush city (Khuzestan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-26
2023,Labor Group (Iran),Iran,Khuzestan,Shushtar,Central,Shushtar,32.05,48.848,"On 26 February 2023, retirees protested in front of the Social Security building in Shushtar city (Khuzestan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-26
2023,Labor Group (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 26 February 2023, retired industrial workers protested in front of the Steel Pension Fund building in Isfahan city (Isfahan) over their insurance claims not being processed.",0,2023-02-26
2023,Farmers (Iran),Iran,Khuzestan,Ahvaz,Central,Albaji,31.512,48.632,"On 26 February 2023, local farmers held a protest rally in Albaji village (Khuzestan) demanding that they be awarded greater water allocations due to the intensifying drought.",0,2023-02-26
2023,Labor Group (Iran),Iran,Ardabil,Ardabil,Central,Ardabil,38.25,48.293,"On 26 February 2023, workers employed at the Sablan Powerplant went on strike and protested at their workplace in Ardabil city (Ardabil) over three months worth of unpaid wage arrears.",0,2023-02-26
2023,Shiite Muslim Group (Iran); Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 26 February 2023, a group of pro-government, pro-Islamic modesty women held a protest rally in front of Parliament in Tehran - District 12 (Tehran) demanding that the government take action on the increased number of women not wearing hijabs.",0,2023-02-26
2023,Labor Group (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 26 February 2023, retirees protested in front of the Social Security building in Isfahan city (Isfahan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-26
2023,Women (Iran); Students (Iran),Iran,Kermanshah,Javanrud,Central,Javanrud,34.807,46.491,"On 26 February 2023, female students rallied in the streets in Javanrud city (Kermanshah) chanting anti-government and pro-feminist slogans as part of the Mahsa Amini movement.",0,2023-02-26
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 22,35.742,51.206,"On 26 February 2023, a group of protesters rallied in the Chitgar area of Tehran - District 22 (Tehran) chanting anti-government slogans in connection with the Mahsa Amini movement.",0,2023-02-26
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 5,35.743,51.308,"On 26 February 2023, a group of protesters rallied in both the Ekbatan and Ferdows areas of Tehran - District 5 (Tehran) chanting anti-government slogans in connection with the Mahsa Amini movement.",0,2023-02-26
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 2,35.751,51.362,"On 26 February 2023, a group of protesters rallied in the Punak area of Tehran - District 2 (Tehran) chanting anti-government slogans in connection with the Mahsa Amini movement.",0,2023-02-26
2023,Labor Group (Iran),Iran,Khuzestan,Shush,Shavur,Haft Tappeh,32.084,48.41,"On 26 February 2023, workers for the Haft Tappeh Sugarcane Refinery went on strike and held a protest rally at their workplace in Haft Tappeh city (Khuzestan) over the non-implementation of salary equalization.",0,2023-02-26
2023,Labor Group (Iran),Iran,Yazd,Yazd,Central,Yazd,31.897,54.368,"On 26 February 2023, workers for Yazd Steel went on strike and protested in Yazd city (Yazd) demanding a change in management.",0,2023-02-26
2023,Labor Group (Iran),Iran,Tehran,Tehran,Central,Tehran - District 7,35.722,51.444,"On 26 February 2023, bakers protested in front of the Tehran Bakers Union building in Tehran - District 7 (Tehran) over poor living conditions resulting from insufficient income.",0,2023-02-26
2023,NA,Iran,Qom,Qom,Central,Qom,34.64,50.876,"Other: On 26 February 2023, a female student died of unknown causes in Qom city (Qom). Her parents state they believe she had been poisoned by the government, which government sources deny.",1,2023-02-26
2023,Labor Group (Iran),Iran,Khuzestan,Shush,Shavur,Haft Tappeh,32.084,48.41,"On 25 February 2023, workers for the Haft Tappeh Sugarcane Refinery went on strike and held a protest rally at their workplace in Haft Tappeh city (Khuzestan) over the non-implementation of salary equalization.",0,2023-02-25
2023,Labor Group (Iran),Iran,Isfahan,Isfahan,Central,Isfahan,32.653,51.675,"On 25 February 2023, workers for the Isfahan Iron Smelter Company went on strike and protested at their workplace in Isfahan city (Isfahan) over unpaid wage arrears and the failure of their employers to implement a job classification plan.",0,2023-02-25
2023,NA,Iran,Lorestan,Borujerd,Central,Borujerd,33.897,48.752,"Other: On 25 February 2023, 44 students at a girls high school fell ill with varied symptoms in Borujerd city (Lorestan) and stated there had been strange odors. Their families and others have accused the government of intentionally poisoning the girls, while the stance of the government and some foreign experts is that it is likely mass hysteria. These alleged poisonings have led to protests.",0,2023-02-25
2023,Sunni Muslim Group (Iran),Iran,Golestan,Galikash,Central,Galikesh,37.273,55.434,"On 24 February 2023, protesters rallied in the streets of Galikesh city (Golestan) demanding the release of recently arrested Sunni clergy, condemning government violence towards Sunni Muslims, and expressing solidarity with the people of Zahedan.",0,2023-02-24
2023,Women (Iran); Baloch Ethnic Group (Iran); Sunni Muslim Group (Iran),Iran,Sistan and Baluchestan,Zahedan,Central,Zahedan,29.496,60.863,"On 24 February 2023, a crowd held a rally after Friday prayers in Zahedan city (Sistan and Baluchestan) wherein they condemned government violence towards women, Sunni Muslims, and Baloch people. IRGC soldiers tried to forcibly enter a mosque and make arrests, but were prevented from doing so after a clash with the demonstrators.",0,2023-02-24
2023,Gonabadi Dervish Sufi Muslim Group (Iran),Iran,Lorestan,Aligudarz,Central,Aligudarz,33.401,49.695,"On 23 February 2023, members of a Gonabadi Dervish Sufi group held a mourning vigil in Aligudarz city (Lorestan) for a Gonabadi Dervish Sufi who had been killed in police custody several years before.",0,2023-02-23
2023,Labor Group (Iran),Iran,Kerman,Jiroft,Central,Esfandagheh,28.645,57.147,"On 23 February 2023, workers from the Esfandagheh Mine continued to strike and protested near Esfandagheh village (Kerman) demanding their unpaid wages, Eid bonuses, and 3 months of unpaid insurance to be paid.",0,2023-02-23
2023,Women (Iran),Iran,Tehran,Rey,Kahrizak,Baghershahr,35.529,51.407,"On 23 February 2023, a crowd held a mourning vigil in the Behesht Zahra Cemetary in Baghershahr city (Tehran) for a protester who had been slain during the Mahsa Amini demonstration movement.",0,2023-02-23
2023,Women (Iran),Iran,Khuzestan,Izeh,Central,Izeh,31.834,49.867,"On 23 February 2023, protesters rallied at the Rouza al-Zahra cemetary in Izeh city (Khuzestan) in mourning for a student who had died under mysterious circumstances during the Mahsa Amini demonstrations.",0,2023-02-23
2023,Women (Iran),Iran,Kurdistan,Sannandaj,Central,Sanandaj,35.315,46.999,"On 23 February 2023, protesters rallied in a cemetary in Sanandaj city (Kurdistan) at the graves of those killed during the Mahsa Amini movement, and chanted anti-government slogans.",0,2023-02-23
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 5,35.743,51.308,"On 23 February 2023, a crowd protested in the Ekbatan neighborhood of Tehran - District 5 (Tehran) during which they criticized the current economic situation and chanted anti-government slogans.",0,2023-02-23
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 8,35.725,51.491,"On 23 February 2023, a crowd protested in the Narmak neighborhood of Tehran - District 8 (Tehran) during which they criticized the current economic situation and chanted anti-government slogans.",0,2023-02-23
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 2,35.751,51.362,"On 23 February 2023, a crowd protested in the Punak neighborhood of Tehran - District 2 (Tehran) during which they criticized the current economic situation and chanted anti-government slogans.",0,2023-02-23
2023,NA,Iran,Lorestan,Borujerd,Central,Borujerd,33.897,48.752,"Other: Around 23 February 2023, female students at a girls high school fell ill with varied symptoms in Borujerd city (Lorestan) and stated there had been strange odors. Their families and others have accused the government of intentionally poisoning the girls, while the stance of the government and some foreign experts is that it is likely mass hysteria. These alleged poisonings have led to protests.",0,2023-02-23
2023,NA,Iran,Sistan and Baluchestan,Zahedan,Central,Zahedan,29.496,60.863,"On 22 February 2023, Iranian police severely beat a Baloch man in custody after arresting him off Karimpur Street in Zahedan city (Sistan and Baluchestan) shortly after he had just been released, having been arrested during earlier demonstrations. The man died shortly after of his injuries.",1,2023-02-22
2023,Labor Group (Iran),Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 22 February 2023, firefighters protested in front of the Tehran City Council building in Tehran - District 12 (Tehran) over poor living conditions and insufficient salaries.",0,2023-02-22
2023,Labor Group (Iran),Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.319,48.684,"On 22 February 2023, retirees protested in front of the Social Security building in Ahvaz city (Khuzestan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-02-22
2023,Labor Group (Iran),Iran,Kerman,Jiroft,Central,Esfandagheh,28.645,57.147,"On 22 February 2023, workers from the Esfandagheh Mine went on strike and protested near Esfandagheh village (Kerman) demanding their unpaid wages, Eid bonuses, and 3 months of unpaid insurance to be paid.",0,2023-02-22
2023,Teachers (Iran); CCTSI: Coordinating Council of Teachers Syndicates in Iran,Iran,Fars,Shiraz,Central,Shiraz,29.61,52.531,"On 22 February 2023, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested in front of the Fars Education Department in Shiraz city (Fars) demanding an implementation of the equalization of salaries.",0,2023-02-22
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 2,35.751,51.362,"On 22 February 2023, protesters rallied in the Sanat Square Metro station in Tehran - District 2 (Tehran) chanting anti-government slogans as part of the Mahsa Amini movement.",0,2023-02-22
2023,Women (Iran),Iran,Hormozgan,Bandar-Abbas,Central,Bandar Abbas,27.186,56.281,"On 22 February 2023, protesters rallied in the streets of Bandar Abbas city (Hormozgan) chanting anti-government slogans, likely related to the Mahsa Amini movement.",0,2023-02-22
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 11,35.681,51.395,"On 22 February 2023, Morad Abad Punak landowners protested in front of the Presidential Administration building in Tehran - District 11 (Tehran) over government not permitting construction on the purchased lands.",0,2023-02-22
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 22 February 2023, protesters rallied in the Tehran Bazaar in Tehran - District 12 (Tehran) criticizing inflation and other economic issues, demanding the government take action.",0,2023-02-22
2023,NA,Iran,Isfahan,Kashan,Central,Kashan,33.997,51.442,"On 22 February 2023, residents from the village of Dareh protested in Kashan city (Isfahan) over the effects of mining activities in their area.",0,2023-02-22
2023,Teachers (Iran),Iran,Tehran,Tehran,Central,Tehran - District 6,35.725,51.403,"On 22 February 2023, retired teachers protested in front of the Ministry of Education building in Tehran - District 6 (Tehran) over poor living conditions. Police attempted to disperse the gathering and beat several of the protesters.",0,2023-02-22
2023,Labor Group (Iran),Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.319,48.684,"On 21 February 2023, around 200 municipal workers protested in front of the government offices in Ahvaz city (Khuzestan) demanding clarity regarding their employment status.",0,2023-02-21
2023,Labor Group (Iran),Iran,Razavi Khorasan,Nishapur,Central,Nishabur,36.213,58.796,"On 21 February 2023, bakers protested at the bakers union building in Nishabur city (Razavi Khorasan) over insufficient income and poor living conditions.",0,2023-02-21
2023,Labor Group (Iran),Iran,East Azerbaijan,Tabriz,Central,Tabriz,38.08,46.292,"On 21 February 2023, green space workers protested in front of the governor's office in Tabriz city (East Azerbaijan) over their demands not being addressed.",0,2023-02-21
2023,Labor Group (Iran),Iran,Kurdistan,Baneh,Central,Baneh,35.998,45.885,"On 21 February 2023, vendors in the Golestan Passage protested in Baneh city (Kurdistan) in criticism of the recent increase in rent for stall spots.",0,2023-02-21
2023,Labor Group (Iran),Iran,Bushehr,Kangan,Central,Tonbak,27.729,52.177,"On 21 February 2023, workers for Adish Kangan Petrochemical went on strike and held a protest rally at their workplace in Tonbak city (Bushehr) over unpaid wage arrears and unfulfilled promises by their employers.",0,2023-02-21
2023,Teachers (Iran),Iran,Tehran,Tehran,Central,Tehran - District 6,35.725,51.403,"On 21 February 2023, retired teachers protested in front of the Ministry of Education building in Tehran - District 6 (Tehran) over poor living conditions.",0,2023-02-21
2023,Teachers (Iran); Health Workers (Iran); Labor Group (Iran),Iran,Tehran,Tehran,Central,Tehran - District 6,35.725,51.403,"On 21 February 2023, retired medical sciences university staff protested in front of the National Pension Fund building in Tehran - District 6 (Tehran) over unpaid pension payments.",0,2023-02-21
2023,NA,Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.316,59.568,"On 21 February 2023, disabled people protested in front of the Provincial Welfare Board building in Mashhad city (Razavi Khorasan) over their demands and concerns not being addressed.",0,2023-02-21
