Laurel Crime Reports,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,Classification ,Location ,Summary,,,,,,,,,,
,1/19/23,THEFT FROM AUTO,800 Blk Fifth St,A catalytic converter was stolen off of a vehicle. ,,,,,,,,,,
,1/19/23,THEFT REPORT,14600 Blk Shiloh Ct ,A male was observed stealing packages. ,,,,,,,,,,
,1/19/23,THEFT FROM AUTO,800 Blk Eighth St ,A catalytic converter was stolen off of a vehicle. ,,,,,,,,,,
,1/20/23,STOLEN VEH,1 Blk Main St,A Honda Accord was stolen by unknown means. ,,,,,,,,,,
,1/20/23,STOLEN VEH,14800 Blk Fourth St ,A Hyundai Elantra was stolen by unknown means.,,,,,,,,,,
,1/21/23,THEFT FROM AUTO,200 Blk Fort Meade Rd ,A purse was stolen from a vehicle. ,,,,,,,,,,
,1/21/23,THEFT REPORT,14800 Blk Baltimore Ave ,A cellphone was stolen.,,,,,,,,,,
,1/21/23,THEFT REPORT,14800 Blk Baltimore Ave ,A male was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/23/23,STOLEN VEH,14800 Blk Baltimore Ave ,A Honda Civic was stolen.,,,,,,,,,,
,1/23/23,THEFT REPORT,14700 Blk Baltimore Ave ,Three males were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/25/23,BREAK IN REPORT,200 Blk Washington Blvd,Unknown suspects broke into a business and stole several items. ,,,,,,,,,,
,1/25/23,THEFT REPORT,14600 Blk Shiloh Ct ,A package was stolen. ,,,,,,,,,,
,1/25/23,STOLEN VEH,800 Blk Eighth St ,A Volkswagen Jetta was stolen by unknown means. ,,,,,,,,,,
,1/25/23,THEFT REPORT,9100 Blk Huntington Ct ,A ring camera was stolen.,,,,,,,,,,
,1/25/23,THEFT REPORT,9600 Blk Fort Meade Rd ,A cellphone was stolen. ,,,,,,,,,,
,1/26/23,THEFT REPORT,15100 Blk Baltimore Ave,A male was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/26/23,THEFT FROM AUTO,14200 Blk West Side Blvd ,One registration plate was stolen off of a vehicle. ,,,,,,,,,,
,1/26/23,THEFT FROM AUTO,14700 Blk Baltimore Ave ,A wallet was stolen from a vehicle.,,,,,,,,,,
,1/26/23,THEFT REPORT,14200 Blk Baltimore Ave ,Three male were observed shoplifting and fleeing the scene.,,,,,,,,,,
,1/26/23,CARJACKING,15100 Blk Baltimore Ave ,A victim was carjacked at knifepoint. ,,,,,,,,,,
,1/27/23,THEFT FROM AUTO,14400 Blk West Side Blvd ,A car part was stolen from a vehicle. ,,,,,,,,,,
,1/27/23,THEFT REPORT,14700 Blk Baltimore Ave ,Two males were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/27/23,THEFT REPORT,300 Blk Domer St,A male was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/28/23,STOLEN VEH,14700 Blk Fourth St,A Dodge Charger was stolen. ,,,,,,,,,,
,1/28/23,THEFT REPORT,800 Blk Fifth St,A wallet was stolen from a vehicle.,,,,,,,,,,
,1/28/23,STOLEN VEH,14700 Blk Shiloh Ct ,A Toyota Corolla was stolen. ,,,,,,,,,,
,1/29/23,THEFT FROM AUTO,900 Blk Nichols Dr,A registration plate was stolen off of a vehicle. ,,,,,,,,,,
,1/31/23,STOLEN VEH,801 Blk Karen Ct ,A Hyundai Elantra was stolen. ,,,,,,,,,,
,1/31/23,Stolen Vehicle,7800 Blk Old Sandy Spring Rd,A Jeep Cherokee was stolen.,,,,,,,,,,
,1/31/23,Sexual Assault,6900 Blk Andersons Way,The victim was sexually assaulted at gunpoint.,,,,,,,,,,
,2/1/23,THEFT FROM AUTO,9300 Blk Spring House Ln ,Car parts were stolen off of a vehicle. ,,,,,,,,,,
,2/1/23,THEFT FROM AUTO,200 Blk Stanley Pl ,Money was stolen from a vehicle. ,,,,,,,,,,
,2/1/23,THEFT FROM AUTO,9300 Blk Palmer Pl,Tires were stolen off of a vehicle. ,,,,,,,,,,
,2/1/23,ROBBERY,14800 Blk Baltimore Ave ,A business was robbed at gunpoint. ,,,,,,,,,,
,2/1/23,STOLEN VEH, 14900 Blk Baltimore Ave ,A Kia Sportage was stolen. ,,,,,,,,,,
,2/1/23,THEFT FROM AUTO,200 Blk Stanley Pl,Several items was stolen from a vehicle. ,,,,,,,,,,
,2/1/23,STOLEN VEH,8200 Blk Harvest Bend Ln,A Kia Sportage was stolen. ,,,,,,,,,,
,2/8/23,THEFT REPORT,1700 Blk Mill Branch Dr,Construction materials were stolen from a construction site. ,,,,,,,,,,
,2/8/23,THEFT REPORT,9600 Blk Fort Meade Rd,A male was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/8/23,THEFT REPORT,14700 Blk Baltimore Ave ,Three females were observed shoplifting and fleeing the scene.,,,,,,,,,,
,2/9/23,STOLEN VEH,7600 Blk Erica Ln,A Chevy Malibu was stolen by unknown means. ,,,,,,,,,,
,2/9/23,THEFT FROM AUTO,8000 Blk Laurel Lakes Ct,An unknown suspect shattered a vehicle window and stole a purse.,,,,,,,,,,
,2/9/23,THEFT REPORT,14700 Blk Baltimore Ave ,Three males were observed shoplifting and fleeing the scene.,,,,,,,,,,
,2/9/23,THEFT REPORT,14700 Blk Baltimore Ave,Two females were observed shoplifting and fleeing the scene.,,,,,,,,,,
,2/9/23,THEFT FROM AUTO,800 Blk Fifth St,A registration plate was stolen off of a vehicle. ,,,,,,,,,,
,2/9/23,ROBBERY,800 Blk Eighth St ,A Juvenile was assaulted and robbed. ,,,,,,,,,,
,2/9/23,DUI,Cherry Ln / Fourth St,A male was arrested for driving under the influence. ,,,,,,,,,,
,2/10/23,THEFT FROM AUTO,14000 Blk Briston St ,A bag was stolen from a vehicle. ,,,,,,,,,,
,2/10/23,STOLEN VEH,8200 Blk Harvest Bend Ln ,A Hyundai Sonata was stolen by unknown means. ,,,,,,,,,,
,2/10/23,STOLEN VEH,14700 Blk Baltimore Ave ,A Kia Optima was stolen by damaged ignition.,,,,,,,,,,
,2/10/23,ATTEMPTED ROBBERY,300 Blk Montrose Ave,Two unknown suspects attempted to rob the victim at gunpoint. ,,,,,,,,,,
,2/10/23,DUI,13600 Blk Baltimore Ave ,A male was arrested for driving under the influence. ,,,,,,,,,,
,2/10/23,DUI,Eighth St / Gorman Ave ,A male was arrested for driving under the influence. ,,,,,,,,,,
,2/10/23,STOLEN VEH,700 Blk Montgomery St,A Lexus was stolen by unknown means.,,,,,,,,,,
,2/11/23,BREAK IN REPORT,14200 Blk Jib St ,Unknown suspects broke into a vacant residence.,,,,,,,,,,
,2/12/23,THEFT FROM AUTO,14700 Blk Fourth St,Several tools were stolen from a vehicle.,,,,,,,,,,
,2/12/23,STOLEN VEH,8200 Blk Londonderry Ct,A Kia Optima was stolen by unknown means.,,,,,,,,,,
,2/12/23,THEFT FROM AUTO,14700 Blk Fourth St,All four tires were stolen off of a vehicle. ,,,,,,,,,,
,2/13/23,PROPERTY ALARM COMMERCIAL,1 Blk Washington Blvd ,Unknown suspects broke into a business and stole two vehicles.,,,,,,,,,,
,2/13/23,THEFT REPORT,300 Blk Washington Blvd ,Two individuals fled the scene before paying for services. ,,,,,,,,,,
,2/13/23,STOLEN VEH,8100 Blk Fenwick Ct,A Kia Sportage was stolen by unknown means. ,,,,,,,,,,
,2/14/23,THEFT REPORT,300 Blk Montrose Ave,A male was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/15/23,THEFT REPORT,14100 Blk West Side Blvd ,A package was stolen.,,,,,,,,,,
,2/15/23,STOLEN VEH,800 Blk Talbott Ave ,A Kia Forte was stolen by damaged ignition.,,,,,,,,,,
,2/16/23,STOLEN VEH,900 Blk Washington Blvd ,An unknown suspect entered an idling Toyota Corolla and fled the scene. ,,,,,,,,,,
,2/16/23,THEFT REPORT,14700 Blk Fourth St,A package was stolen.,,,,,,,,,,
,2/16/23,THEFT FROM AUTO,400 Blk Main St,A purse and electronics were stolen out of a vehicle. ,,,,,,,,,,
,2/16/23,TAMPERING,7800 Blk Contee Rd,An unknown suspect attempted to steal a vehicle. ,,,,,,,,,,
,2/16/23,DUI,14600 Blk Cambridge Cir,A male was arrested for driving under the influence. ,,,,,,,,,,
,2/17/23,FIGHT,9600 Blk Fort Meade Rd ,Two males got into an altercation and a shot was fired; No one was injured. ,,,,,,,,,,
,2/17/23,ROBBERY ATTEMPT,1000 Blk Harrison Dr,A juvenile was assaulted by several suspects who attempted to take their property. ,,,,,,,,,,
,2/17/23,BURGLARY REPORT,8300 Blk Ashford Blvd ,A female suspect broke into a residence and stole several items. ,,,,,,,,,,
,2/17/23,THEFT REPORT,700 Blk Gorman Ave ,A cellphone was stolen.,,,,,,,,,,
,2/18/23,THEFT REPORT,300 Blk Main St,Four females were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/19/23,THEFT REPORT,9600 Blk Fort Meade Rd,Two males were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/19/23,THEFT REPORT,100 Blk Irving St,A package was stolen.,,,,,,,,,,
,2/19/23,THEFT REPORT,15100 Blk Baltimore Ave ,A male jumped behind a pharmacy and stole medication. ,,,,,,,,,,
,2/20/23,STOLEN VEH,7600 Blk South Arbory Ln,A Hyundai Tucson was stolen by damaged ignition.,,,,,,,,,,
,2/20/23,THEFT FROM AUTO,7300 Blk Breckenridge St,A registration plate was stolen off of a vehicle. ,,,,,,,,,,
,2/20/23,VANDALISM,14900 Blk Baltimore Ave,The windows to a Kia Forte were shattered. ,,,,,,,,,,
,2/20/23,THEFT FROM AUTO,100 blk Main St,A registration plate was stolen off of a vehicle. ,,,,,,,,,,
,2/20/23,THEFT REPORT,300 Blk Domer Ave,Liquor was stolen. ,,,,,,,,,,
,2/20/23,THEFT REPORT,14700 Blk Baltimore Ave ,Three juveniles were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/20/23,THEFT FROM AUTO,14600 Blk Shiloh Ct,A handicap placard was stolen out of a vehicle. ,,,,,,,,,,
,2/20/23,THEFT REPORT,300 Blk Montrose Ave,A male was observed stealing clothes. ,,,,,,,,,,
,2/20/23,THEFT FROM AUTO,1100 Blk Beall Pl,Two registration plates were stolen off of a vehicle. ,,,,,,,,,,
,2/20/23,THEFT REPORT,14200 Blk Baltimore Ave,Two females were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/21/23,STOLEN VEH,800 Blk Eighth St ,A Hyundai Elantra was stolen by unknown means. ,,,,,,,,,,
,2/21/23,THEFT REPORT,1100 Blk Patuxent Greens Dr,Items were stolen from a construction site.,,,,,,,,,,
,2/21/23,STOLEN VEH,7800 Blk Contee Rd ,A Dodge Charger was stolen by unknown means.,,,,,,,,,,
,2/21/23,STABBING,14600 Blk Laurel Bowie Rd,A male victim was stabbed and transported to the hospital in critical condition. ,,,,,,,,,,
,2/21/23,THEFT REPORT,14700 Blk Baltimore Ave,A male was observed stealing clothing. ,,,,,,,,,,
,2/21/23,THEFT REPORT,300 Blk Domer Ave,A male and a female were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/21/23,BURGLARY REPORT,100 Blk Second St ,An unknown suspect broke into a business and stole money. ,,,,,,,,,,
,2/22/23,BREAK IN IN PROGRESS,14700 Blk Shiloh Ct,A male broke into a residence. ,,,,,,,,,,
,2/22/23,THEFT REPORT,14700 Blk Baltimore Ave,Bank cards were stolen from the victim. ,,,,,,,,,,
,2/22/23,THEFT REPORT,9600 Blk Fort Meade Rd ,Bank cards were stolen from the victim. ,,,,,,,,,,
,2/22/23,THEFT REPORT,14700 Blk Baltimore Ave,Three females were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/22/23,ROBBERY,7800 Blk Old Sandy Spring Rd,A business was robbed at gunpoint. ,,,,,,,,,,
,2/23/23,DUI ARREST,7100 Blk Old Sandy Spring Rd,A female was arrested for driving under the influence. ,,,,,,,,,,
,2/24/23,VANDALISM,300 Blk Eleventh St,The windows were shattered to the victim's vehicle. ,,,,,,,,,,
,2/25/23,SHOOTING,14400 Blk Laurel Pl,Officers responded for a victim with gunshot wounds following a physical altercation.,,,,,,,,,,
,2/25/23,THEFT REPORT,14800 Blk Baltimore Ave Sb,Stolen clothing was recovered on the scene of a shoplifting. ,,,,,,,,,,
,2/25/23,THEFT REPORT, 14700 Blk Baltimore Ave Sb,Two individuals were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,2/26/23,THEFT REPORT,14800 Blk Baltimore Ave ,A male was observed shoplifting and fleeing the scene.,,,,,,,,,,
,2/26/23,STOLEN VEHICLE,15000 Blk Courtland Pl,A Kia Optima was stolen by unknown means. ,,,,,,,,,,
,2/27/23,THEFT FROM AUTO,7900 Blk Braygreen Rd,Tools were stolen from a vehicle. ,,,,,,,,,,
,2/27/23,BURGLARY,14700 Blk Spring Haven Ln,A group of juveniles broke into a vacant residence. ,,,,,,,,,,
,2/28/23,STOLEN VEHICLE,400 Blk Talbott Ave Wb,A Hyundai was stolen by damaged ignition. ,,,,,,,,,,
,2/28/23,STOLEN VEHICLE,8200 Blk Harvest Bend Ln ,A Mazda 2 was stolen by unknown means. ,,,,,,,,,,
,2/28/23,JUVENILE ARRESTS,7800 Blk Split Rail Ln,Three juveniles were arrested in connection to a vehicle theft. ,,,,,,,,,,
,2/28/23,STOLEN VEHICLE,14600 Blk Baltimore Ave ,A suspect caused an accident and stole the victim's vehicle. ,,,,,,,,,,
,3/1/23,TIRE THEFT,14200 Blk Summit Ln,All four tires were stolen off of a vehicle. ,,,,,,,,,,
,3/1/23,STOLEN VEHICLE,800 Blk Fifth St,A Chevy Suburban was stolen by unknown means. ,,,,,,,,,,
,3/1/23,TIRE THEFT,9400 Blk Spring House Ln ,All four tires were stolen off of a vehicle. ,,,,,,,,,,
,3/1/23,THEFT REPORT,300 Blk Montrose Ave,Jewelry was stolen from the victim. ,,,,,,,,,,
,3/1/23,THEFT REPORT,14700 Blk Baltimore Ave  ,A male was observed shoplifting and fleeing the scene.,,,,,,,,,,
,3/2/23,STOLEN VEHICLE,9400 Blk Spring House Ln ,A Kia Forte was stolen by damaged ignition. ,,,,,,,,,,
,3/2/23,RECOVERED STOLEN VEHICLE,600 Blk Seventh St,A stolen Hyundai was located. ,,,,,,,,,,
,3/2/23,THEFT FROM AUTO,1 Blk Woodland Ct ,Bank information was stolen from a vehicle. ,,,,,,,,,,
,3/2/23,STOLEN VEHICLE,14760 Blk Fourth St,Several stolen vehicles were located. ,,,,,,,,,,
,3/2/23,THEFT REPORT,14700 Blk Baltimore Ave,Three individuals were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,3/3/23,STOLEN VEHICLE,7900 Blk Carissa Ln,A Kia Optima was stolen by damaged ignition. ,,,,,,,,,,
,3/3/23,ATTEMPTED STOLEN VEHICLE,9400 Blk Spring House Ln,Unknown suspects attempted to steal a vehicle.,,,,,,,,,,
,3/3/23,VEHICLE ACCIDENT ,15000 Blk Baltimore Ave ,A driver was transported to the hospital following a vehicle accident. ,,,,,,,,,,
,3/4/23,STOLEN VEHICLE,8200 Blk Northview Ct,A Kia Optima was stolen by damaged ignition. ,,,,,,,,,,
,3/4/23,STOLEN VEHICLE,14800 Blk Fourth St ,A Kia Forte was stolen by damaged ignition. ,,,,,,,,,,
,3/4/23,ACCIDENT,Sandy Spring Rd / Montgomery St,Two drivers were transported to the hospital following a vehicle accident.,,,,,,,,,,
,3/4/23,STOLEN VEHICLE,14900 Blk Baltimore Ave ,A Kia Forte was stolen by unknown means. ,,,,,,,,,,
,3/4/23,ROBBERY,14700 Blk Baltimore Ave ,A victim was robbed by two unknown suspects.,,,,,,,,,,
,3/5/23,SHOOTING ARREST,15600 Blk Mews Ct,A male suspect was arrested in connection to a shooting. ,,,,,,,,,,
,3/6/23,RECOVERED STOLEN VEHICLE,1200 Blk Marton St,A stolen Hyundai was located. ,,,,,,,,,,
,3/6/23,ATTEMPTED STOLEN VEHICLE,300 Blk Marshall Ave,Unknown suspects attempted to steal a vehicle.,,,,,,,,,,
,3/6/23,STOLEN VEHICLE,14500 Blk Greenview Dr,A Kia Optima was stolen by unknown means.,,,,,,,,,,
,3/6/23,THEFT REPORT ,14800 Blk Baltimore Ave,A bike was stolen.,,,,,,,,,,
,3/7/23,THEFT REPORT,300 Blk Washington Blvd ,Five individuals walked out on a bill. ,,,,,,,,,,
,3/7/23,VANDALISM,500 Blk Gorman Ave ,The windows to the victim's vehicle were shadowed. ,,,,,,,,,,
,3/7/23,RECOVERED NARCOTICS ,200 Blk Gorman Ave,Narcotics were recovered in a routine traffic stop.,,,,,,,,,,
,3/8/23,VANDALISM,14700 blk Fourth St,The windows to the victim's vehicle were shattered. ,,,,,,,,,,
,3/8/23,STOLEN VEHICLE,200 blk Fort Meade Rd ,Two rental vehicles were stolen.,,,,,,,,,,
,3/8/23,VANDALISM,14700 blk Fourth St ,The windows to the victim's vehicle were shattered. ,,,,,,,,,,
,3/8/23,ATTEMPTED VEHICLE THEFT,14700 blk Baltimore Ave ,Unknown suspects attempted to steal a vehicle by damaging the ignition.,,,,,,,,,,
,3/9/23,STOLEN VEHICLE,14600 blk Philip Ct ,A Ford Wrangler was stolen by unknown means. ,,,,,,,,,,
,3/9/23,THEFT REPORT,600 blk Washington Blvd ,Three males were observed shoplifting a cart full of items and fleeing the scene.,,,,,,,,,,
,3/9/23,THEFT FROM AUTO,14200 blk Jib St,A handicap placard was stolen from a vehicle.,,,,,,,,,,
,3/9/23,THEFT REPORT,100 blk Second St ,Three males were observed shoplifting and fleeing the scene.,,,,,,,,,,
,3/10/23,THEFT FROM AUTO,14700 blk Fourth St ,A registration plate was stolen off of a vehicle. ,,,,,,,,,,
,3/10/23,THEFT REPORT,14700 blk Baltimore Ave,Two females were observed shoplifting and fleeing the scene.,,,,,,,,,,
,3/11/23,DUI ARREST,Laurel Bowie Rd / Morris Dr,A male was arrested for driving under the influence. ,,,,,,,,,,
,3/11/23,THEFT FROM AUTO,14700 blk Shiloh Ct,Two registration plates were stolen off of a vehicle.,,,,,,,,,,
,3/11/23,STOLEN VEHICLE,14000 blk Vista Dr,A Hyundai Accent was stolen by unknown means. ,,,,,,,,,,
,3/11/23,THEFT REPORT,300 blk Domer St,A female was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,3/11/23,DUI ARREST,9600 blk Fort Meade Rd,A male was arrested for driving under the influence. ,,,,,,,,,,
,3/12/23,THEFT REPORT,300 blk Washington Blvd,Two females failed to pay for services. ,,,,,,,,,,
,3/12/23,THEFT REPORT,14200 blk Baltimore Ave ,Two males were observed shoplifting and fleeing the scene.,,,,,,,,,,
,3/12/23,RECOVERED STOLEN VEHICLE,Parkview Way / Greenview Dr,A stolen vehicle was located.,,,,,,,,,,
,3/12/23,STOLEN VEHICLE,14400 blk West Side Blvd ,A  Jeep Grand Cherokee was stolen by unknown means. ,,,,,,,,,,
,3/13/23,THEFT FROM AUTO,1 blk C St,Electronics were stolen from a vehicle. ,,,,,,,,,,
,3/13/23,BREAK IN REPORT,1000 blk Overlook Way,Unknowns suspects broke into an unfinished home and attempted to steal items. ,,,,,,,,,,
,3/14/23,THEFT FROM AUTO,6900 blk Andersons Way,A handicap placard was stolen from a vehicle.,,,,,,,,,,
,3/14/23,PACKAGE THEFT,800 blk Fifth St,A package was stolen.,,,,,,,,,,
,3/14/23,THEFT FROM AUTO,7800 blk Contee Rd ,A handicap placard was stolen from a vehicle.,,,,,,,,,,
,3/14/23,THEFT REPORT ,600 blk Washington Blvd ,A female was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,3/14/23,THEFT REPORT,14700 blk Baltimore Ave,Two males were observed shoplifting and fleeing the scene.,,,,,,,,,,
,3/14/23,THEFT FROM AUTO,800 blk Fifth St,Two registration plates were stolen off of a vehicle.,,,,,,,,,,
